ID,acname,acqualifier,acvalue,Smiles,Source,dois,standardized,pIC50,z_score
91938073,IC50,=,1.3E-09,COC1=C(C=C2C=CC=C(C2=C1)OC[C@@H]3CCC(=O)N3)C(=O)N,pubchem,10.1021/acs.jmedchem.7b00231,COc1cc2c(OCC3CCC(=O)N3)cccc2cc1C(N)=O,8.8861,1.236933826
75202037,IC50,=,1.5E-09,CNC(=O)C1CCC(CC1)NC(=O)C2=CN=C(C=C2NC3CCOCC3)NC4=NC5=C(C=C4)N=CS5,pubchem,10.1021/jm5016044,CNC(=O)C1CCC(NC(=O)c2cnc(Nc3ccc4ncsc4n3)cc2NC2CCOCC2)CC1,8.8239,1.18637383
163408789,IC50,=,1.5E-09,CC(C)NC1=C2C(=NC=C1C3=CN(N=N3)C4CCNCC4)C5=C(N2)C=C(C=C5)C#N,pubchem,10.1021/acsmedchemlett.2c00060,CC(C)Nc1c(-c2cn(C3CCNCC3)nn2)cnc2c1[nH]c1cc(C#N)ccc12,8.8239,1.18637383
163408788,IC50,=,1.5E-09,CC(C)CCN1C=C(N=N1)C2=CN=C3C4=C(C=C(C=C4)C#N)NC3=C2NC(C)C,pubchem,10.1021/acsmedchemlett.2c00060,CC(C)CCn1cc(-c2cnc3c([nH]c4cc(C#N)ccc43)c2NC(C)C)nn1,8.8239,1.18637383
166070092,IC50,=,1.6E-09,CCNC1=C2C(=NC=C1C(=O)NC[C@H](C(C)(C)O)F)C3=C(N2)C=C(C=C3)C#N,pubchem,10.1021/acsmedchemlett.2c00060,CCNc1c(C(=O)NCC(F)C(C)(C)O)cnc2c1[nH]c1cc(C#N)ccc12,8.7959,1.163613703
75204288,IC50,=,1.8E-09,CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2CC2)NC3=C(C=C(C=N3)C#N)Cl)F)O,pubchem,10.1021/jm5016044,CC(C)(O)C(F)CNC(=O)c1cnc(Nc2ncc(C#N)cc2Cl)cc1NC1CC1,8.7447,1.121995186
71612615,IC50,=,1.8E-09,CC1=C(N=C(S1)C2=CN=C(C=C2NC(C)C)NC3=CC4=C(C=C3)N=CS4)C(=O)NC,pubchem,10.1021/jm5016044,CNC(=O)c1nc(-c2cnc(Nc3ccc4ncsc4c3)cc2NC(C)C)sc1C,8.7447,1.121995186
171347327,IC50,=,1.8E-09,CC1=NC=C(C=N1)C2=NC3=C(C=C2)N=C(N=C3OC4(CC4)C)NC5=CN(N=C5)C6CCN(CC6)C,pubchem,10.1016/j.bmc.2020.115815,Cc1ncc(-c2ccc3nc(Nc4cnn(C5CCN(C)CC5)c4)nc(OC4(C)CC4)c3n2)cn1,8.7447,1.121995186
90154630,IC50,=,1.9E-09,CC(C)NC1=CC(=NC=C1C(=O)NC[C@H](C(C)(C)O)F)NC2=C(C=C(C=N2)C#N)Cl,pubchem,10.1021/jm5016044,CC(C)Nc1cc(Nc2ncc(C#N)cc2Cl)ncc1C(=O)NCC(F)C(C)(C)O,8.7212,1.102892936
166070081,IC50,=,1.9E-09,CC(C)NC1=C2C(=NC=C1C(=O)NCCC3CCNC3)C4=C(N2)C=C(C=C4)C#N,pubchem,10.1021/acsmedchemlett.2c00060,CC(C)Nc1c(C(=O)NCCC2CCNC2)cnc2c1[nH]c1cc(C#N)ccc12,8.7212,1.102892936
