ID,acname,acqualifier,acvalue,Smiles,Source,dois,standardized,pIC50
68328504,IC50,=,4.7e-08,CC1=CC=C(C=C1)N2C(=CC(=N2)C3CCN(CC3)C(C)C)NC(=O)C4=C5N=CC=CN5N=C4,pubchem,10.1021/acsmedchemlett.5b00106,Cc1ccc(-n2nc(C3CCN(C(C)C)CC3)cc2NC(=O)c2cnn3cccnc23)cc1,7.3279
162659453,IC50,=,4.7e-08,CC1(C2=C(C=CC(=C2)NC3=NC=C(C(=N3)N[C@H](CO)C4=CC=CC=C4)C(=O)NC)C(=O)O1)C,pubchem,10.1021/acsmedchemlett.0c00660,CNC(=O)c1cnc(Nc2ccc3c(c2)C(C)(C)OC3=O)nc1NC(CO)c1ccccc1,7.3279
137639959,IC50,=,4.7e-08,CNC(=O)C1=CN=C(C=C1N[C@@H]2CCCC[C@H]2O)NC3=CC4=C(C=C3)N=CS4,pubchem,10.1016/j.bmcl.2017.09.029,CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC1CCCCC1O,7.3279
171352193,IC50,=,4.8e-08,CC1=NC=CC(=C1)C2=NC(=CO2)C(=O)NC3=CN(N=C3C(=O)N)CC(C)C.Cl,pubchem,10.1016/j.bmc.2023.117302,Cc1cc(-c2nc(C(=O)Nc3cn(CC(C)C)nc3C(N)=O)co2)ccn1,7.3188
44448939,IC50,=,4.9e-08,CN(C)C(=O)C1=CN2C(=NC=C2C3=NC(=CC=C3)NC4CCNCC4)C=C1,pubchem,10.1016/j.bmcl.2008.04.042,CN(C)C(=O)c1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1,7.3098
168290309,IC50,=,4.9e-08,C1CCN(C1)CCOC2=CC=C(C=C2)NC3=NC4=C(C(=N3)N[C@@H]5[C@@H]6C[C@H]([C@@H]5C(=O)N)C=C6)SC=C4,pubchem,10.1016/j.bmcl.2022.128900,NC(=O)C1C2C=CC(C2)C1Nc1nc(Nc2ccc(OCCN3CCCC3)cc2)nc2ccsc12,7.3098
162663848,IC50,=,4.97e-08,C1C[C@H](CNC1)NC2=NN3C(=NC=C3C(=O)NC4=CN(N=C4C(F)(F)F)C5CCOCC5)C=C2,pubchem,10.1016/j.ejmech.2020.112092,O=C(Nc1cn(C2CCOCC2)nc1C(F)(F)F)c1cnc2ccc(NC3CCCNC3)nn12,7.3036
137654629,IC50,=,5e-08,C1CC1NC(=O)C2=CN=C(C=C2N[C@@H](CC3=CC=CC=C3)CO)NC4=CC5=C(C=C4)N=CS5,pubchem,10.1016/j.bmcl.2017.09.029,O=C(NC1CC1)c1cnc(Nc2ccc3ncsc3c2)cc1NC(CO)Cc1ccccc1,7.301
168271419,IC50,=,5e-08,CN1CCN(CC1)C2=C(C=CC(=C2)NC3=NC4=C(C(=N3)N[C@@H]5[C@@H]6C[C@H]([C@@H]5C(=O)N)C=C6)SC=C4)F,pubchem,10.1016/j.bmcl.2022.128900,CN1CCN(c2cc(Nc3nc(NC4C5C=CC(C5)C4C(N)=O)c4sccc4n3)ccc2F)CC1,7.301
137635345,IC50,=,5e-08,CN(C)CCNC(=O)C1=CN=C(C=C1N[C@@H](CC2=CC=CC=C2)CO)NC3=CC4=C(C=C3)N=CS4,pubchem,10.1016/j.bmcl.2017.09.029,CN(C)CCNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC(CO)Cc1ccccc1,7.301
137653281,IC50,=,5e-08,CC(C)C[C@@H](CO)NC1=CC(=NC=C1C(=O)NC)NC2=CC3=C(C=C2)N=CS3,pubchem,10.1016/j.bmcl.2017.09.029,CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC(CO)CC(C)C,7.301
122637024,IC50,=,5.1e-08,CC1=NC(=CC=C1)C(=O)NC2=CC3=CN(N=C3C=C2OC)CC(=O)N4CCOCC4,pubchem,10.1021/acs.jmedchem.3c01714,COc1cc2nn(CC(=O)N3CCOCC3)cc2cc1NC(=O)c1cccc(C)n1,7.2924
171344938,IC50,=,5.1e-08,CC(C)NC1=NC(=NC2=C1N=C(C=C2)CC#N)NC3=CN(N=C3)C,pubchem,10.1016/j.bmc.2020.115815,CC(C)Nc1nc(Nc2cnn(C)c2)nc2ccc(CC#N)nc12,7.2924
118172796,IC50,=,5.1e-08,C1CN(CCN1C(=O)CN2C=C3C=C(C(=CC3=N2)Cl)NC(=O)C4=NC(=CC=C4)C(F)(F)F)C(=O)C5=CC=CC=C5,pubchem,10.1021/acs.jmedchem.3c01714,O=C(Nc1cc2cn(CC(=O)N3CCN(C(=O)c4ccccc4)CC3)nc2cc1Cl)c1cccc(C(F)(F)F)n1,7.2924
51396381,IC50,=,5.2e-08,FC(F)(F)c1nn(cc1NC(=O)c1cnc2ccc(N[C@@H]3CCCNC3)nn12)C1CCNCC1,bindingdb,10.1016/j.ejmech.2020.112092,O=C(Nc1cn(C2CCNCC2)nc1C(F)(F)F)c1cnc2ccc(NC3CCCNC3)nn12,7.284
68377868,IC50,=,5.2e-08,C1COCCC1N2C=C(C(=N2)C(=O)N)NC(=O)C3=COC(=N3)C4=CC(=NC=C4)CO,pubchem,10.1016/j.bmc.2023.117302,NC(=O)c1nn(C2CCOCC2)cc1NC(=O)c1coc(-c2ccnc(CO)c2)n1,7.284
51354524,IC50,=,5.5e-08,Cc1cc(ccn1)-c1nc(co1)C(=O)Nc1cc2oc(nc2nc1C1CC1)N1CCOCC1,bindingdb,10.1021/acsmedchemlett.0c00255,Cc1cc(-c2nc(C(=O)Nc3cc4oc(N5CCOCC5)nc4nc3C3CC3)co2)ccn1,7.2596
25144294,IC50,=,5.6e-08,CC1=CN2C(=CN=C2C(=N1)NC3=CC(=NS3)CN4CCCCC4)C5=CNN=C5,pubchem,10.1016/j.bmcl.2012.03.051,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,7.2518
137649190,IC50,=,5.6e-08,C1CC(CCC1NC2=C3C(=CNC3=NC=C2C#N)C4CCOCC4)N5CCOCC5,pubchem,10.1021/acs.jmedchem.7b01290,N#Cc1cnc2[nH]cc(C3CCOCC3)c2c1NC1CCC(N2CCOCC2)CC1,7.2518
162663352,IC50,=,5.7e-08,CCS(=O)(=O)N1CC(C1)N2C=C3C=C(C(=CC3=N2)C(C)(C)O)NC(=O)C4=NC(=CC=C4)C(F)(F)F,pubchem,10.1016/j.bmcl.2020.127686,CCS(=O)(=O)N1CC(n2cc3cc(NC(=O)c4cccc(C(F)(F)F)n4)c(C(C)(C)O)cc3n2)C1,7.2441
126961337,IC50,=,5.8e-08,CN(C)C1CCC(CC1)OC2=NC=NC3=C2C=C(C=C3)[N+](=O)[O-],pubchem,10.1016/j.bmcl.2017.04.050,CN(C)C1CCC(Oc2ncnc3ccc([N+](=O)[O-])cc23)CC1,7.2366
142587219,IC50,=,5.9e-08,CC1(C2=C(C=CC(=C2)NC3=NC=C(C(=N3)N[C@H](CO)C4=CC=CC=C4)C5=NN=CO5)C(=O)O1)C,pubchem,10.1021/acsmedchemlett.0c00660,CC1(C)OC(=O)c2ccc(Nc3ncc(-c4nnco4)c(NC(CO)c4ccccc4)n3)cc21,7.2291
66555265,IC50,=,5.9e-08,CS(=O)(=O)N1CCC(CC1)C2=NN(C(=C2)NC(=O)C3=C4N=CC=CN4N=C3)C5=CC=C(C=C5)C6CC6,pubchem,10.1021/acsmedchemlett.5b00106,CS(=O)(=O)N1CCC(c2cc(NC(=O)c3cnn4cccnc34)n(-c3ccc(C4CC4)cc3)n2)CC1,7.2291
156156017,IC50,=,6.09e-08,CC1(CC2=CC(=C(C=C2O1)N3CCC(CC3)C(C)(C)O)NC(=O)C4=COC(=N4)C5=CC(=NC=C5)N)C,pubchem,10.1016/j.ejmech.2023.115453,CC1(C)Cc2cc(NC(=O)c3coc(-c4ccnc(N)c4)n3)c(N3CCC(C(C)(C)O)CC3)cc2O1,7.2154
68328789,IC50,=,6.1e-08,CC1=CC=C(C=C1)N2C(=CC(=N2)C3=CC=NC=C3)NC(=O)C4=C5N=CC=CN5N=C4,pubchem,10.1021/acsmedchemlett.5b00106,Cc1ccc(-n2nc(-c3ccncc3)cc2NC(=O)c2cnn3cccnc23)cc1,7.2147
122181634,IC50,=,6.2e-08,CN1C=C(C(=N1)C2=CC=NC=C2)NC(=O)C3=C4N=C(C=CN4N=C3)N[C@@H]5CCCC[C@@H]5N,pubchem,10.1021/acsmedchemlett.5b00107,Cn1cc(NC(=O)c2cnn3ccc(NC4CCCCC4N)nc23)c(-c2ccncc2)n1,7.2076
118224483,IC50,=,6.25e-08,CC1=NC=CC(=C1)C2=NC(=CO2)C(=O)NC3=CC4=C(N=C3N5CC[C@H](C5)N)N=C(O4)N6CCOCC6,pubchem,10.1021/acsmedchemlett.0c00255,Cc1cc(-c2nc(C(=O)Nc3cc4oc(N5CCOCC5)nc4nc3N3CCC(N)C3)co2)ccn1,7.2041
172469917,IC50,=,6.27e-08,CC(=O)NC1=NC=CC(=C1)C2=NC(=CO2)C(=O)NC3=C(C=C4C(=C3)CC(O4)(C)C)N5CCC(CC5)CO,pubchem,10.1016/j.ejmech.2023.115453,CC(=O)Nc1cc(-c2nc(C(=O)Nc3cc4c(cc3N3CCC(CO)CC3)OC(C)(C)C4)co2)ccn1,7.2027
44448971,IC50,=,6.3e-08,C1CNCCC1NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)C5=CC=CN5,pubchem,10.1016/j.bmcl.2008.04.042,c1cc(NC2CCNCC2)nc(-c2cnc3ccc(-c4ccc[nH]4)cn23)c1,7.2007
137652730,IC50,=,6.4e-08,COCCNC(=O)C1=CN=C(C=C1N[C@@H](CC2=CC=CC=C2)CO)NC3=CC4=C(C=C3)N=CS4,pubchem,10.1016/j.bmcl.2017.09.029,COCCNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC(CO)Cc1ccccc1,7.1938
162663196,IC50,=,6.55e-08,CN1C=C(C(=N1)C(F)F)NC(=O)C2=CN=C3N2N=C(C=C3)N4CCNCC4,pubchem,10.1016/j.ejmech.2020.112092,Cn1cc(NC(=O)c2cnc3ccc(N4CCNCC4)nn23)c(C(F)F)n1,7.1838
172467292,IC50,=,6.59e-08,CC1(CC2=CC(=C(C=C2O1)N3CCC(CC3)CO)NC(=O)C4=COC(=N4)N5CC[C@H](C5)N)C,pubchem,10.1016/j.ejmech.2023.115453,CC1(C)Cc2cc(NC(=O)c3coc(N4CCC(N)C4)n3)c(N3CCC(CO)CC3)cc2O1,7.1811
68377958,IC50,=,6.7e-08,C1CC1C2=NC=CC(=C2)C3=NC(=CO3)C(=O)NC4=CN(N=C4C(=O)N)C5CCOCC5,pubchem,10.1016/j.bmc.2023.117302,NC(=O)c1nn(C2CCOCC2)cc1NC(=O)c1coc(-c2ccnc(C3CC3)c2)n1,7.1739
136272390,IC50,=,6.7e-08,C1CN(C1)C2=NC(=C(C(=O)N2)C3=NC4=CC=CC=C4S3)N[C@@H]5C[C@@H]([C@H]([C@H]5O)O)CO,pubchem,10.1021/acsmedchemlett.5b00279,O=c1[nH]c(N2CCC2)nc(NC2CC(CO)C(O)C2O)c1-c1nc2ccccc2s1,7.1739
68328146,IC50,=,6.7e-08,CC1=CC=C(C=C1)N2C(=CC(=N2)C3CCN(CC3)S(=O)(=O)C)NC(=O)C4=C5N=CC=CN5N=C4,pubchem,10.1021/acsmedchemlett.5b00106,Cc1ccc(-n2nc(C3CCN(S(C)(=O)=O)CC3)cc2NC(=O)c2cnn3cccnc23)cc1,7.1739
133107905,IC50,=,6.9e-08,CC(C)N1C=CC2=C1C(=NC=N2)NC3CCC(CC3)N(C)C,pubchem,10.1016/j.bmc.2018.01.008,CC(C)n1ccc2ncnc(NC3CCC(N(C)C)CC3)c21,7.1612
24857834,IC50,=,7e-08,C1CNCCC1NC2=NC(=CC=C2)N3C=NC4=CC=CC=C43,pubchem,10.1016/j.bmcl.2008.04.042,c1cc(NC2CCNCC2)nc(-n2cnc3ccccc32)c1,7.1549
137659188,IC50,=,7e-08,C1CC1CNC(=O)C2=CN=C(C=C2N[C@@H](CC3=CC=CC=C3)CO)NC4=CC5=C(C=C4)N=CS5,pubchem,10.1016/j.bmcl.2017.09.029,O=C(NCC1CC1)c1cnc(Nc2ccc3ncsc3c2)cc1NC(CO)Cc1ccccc1,7.1549
162651442,IC50,=,7.07e-08,CCOC1=C(C=C2C(=C1)N=C(N2C)CCC(C)(C)C(=O)OC)NC(=O)C3=NC(=CC=C3)C(F)(F)F,pubchem,10.1021/acsmedchemlett.0c00474,CCOc1cc2nc(CCC(C)(C)C(=O)OC)n(C)c2cc1NC(=O)c1cccc(C(F)(F)F)n1,7.1506
90272141,IC50,=,7.1e-08,COC1=CC=C(C=C1)N2C(=CC(=N2)C3CCN(CC3)S(=O)(=O)C)NC(=O)C4=C5N=CC=CN5N=C4,pubchem,10.1021/acsmedchemlett.5b00106,COc1ccc(-n2nc(C3CCN(S(C)(=O)=O)CC3)cc2NC(=O)c2cnn3cccnc23)cc1,7.1487
126970816,IC50,=,7.19e-08,CC(C)OC1=C(C=C2C=CC=C(C2=C1)C3=CC=C(C=C3)C#N)C(=O)N,pubchem,10.1021/acs.jmedchem.7b00231,CC(C)Oc1cc2c(-c3ccc(C#N)cc3)cccc2cc1C(N)=O,7.1433
172440142,IC50,=,7.38e-08,CC1(CC2=CC(=C(C=C2O1)N3CCC(CC3)CO)NC(=O)C4=CC=CC(=N4)C5=CN(N=C5)C)C,pubchem,10.1016/j.ejmech.2023.115453,Cn1cc(-c2cccc(C(=O)Nc3cc4c(cc3N3CCC(CO)CC3)OC(C)(C)C4)n2)cn1,7.1319
162676459,IC50,=,7.7e-08,CC(C)N1C=C(C(=N1)C(F)(F)F)NC(=O)C2=CN=C3N2N=C(C=C3)N[C@@H]4CCCNC4,pubchem,10.1016/j.ejmech.2020.112092,CC(C)n1cc(NC(=O)c2cnc3ccc(NC4CCCNC4)nn23)c(C(F)(F)F)n1,7.1135
145979754,IC50,=,7.8e-08,CC(=O)N1CCN(CC1)C2CCC(CC2)NC3=NC=NN4C3=C(C=C4)C5CCC(CC5)C(=O)N,pubchem,10.1016/j.bmc.2018.01.008,CC(=O)N1CCN(C2CCC(Nc3ncnn4ccc(C5CCC(C(N)=O)CC5)c34)CC2)CC1,7.1079
136508720,IC50,=,7.9e-08,C1CCNC[C@@H](C1)NC2=C(C(=O)NC(=N2)N3CCOCC3)C4=NC5=CC=CC=C5S4,pubchem,10.1021/acsmedchemlett.5b00279,O=c1[nH]c(N2CCOCC2)nc(NC2CCCCNC2)c1-c1nc2ccccc2s1,7.1024
66554581,IC50,=,8e-08,CC1=CC=C(C=C1)N2C(=CC(=N2)C3CCNCC3)NC(=O)C4=C5N=CC=CN5N=C4,pubchem,10.1021/acsmedchemlett.5b00106,Cc1ccc(-n2nc(C3CCNCC3)cc2NC(=O)c2cnn3cccnc23)cc1,7.0969
68377900,IC50,=,8e-08,CC1=NC=CC(=C1)C2=NC=C(O2)C(=O)NC3=CN(N=C3C(=O)N)C4CCOCC4,pubchem,10.1016/j.bmc.2023.117302,Cc1cc(-c2ncc(C(=O)Nc3cn(C4CCOCC4)nc3C(N)=O)o2)ccn1,7.0969
51396371,IC50,=,8e-08,Cn1cc(NC(=O)c2cnc3ccc(nn23)N2CCC(N)CC2)c(n1)C(F)F,bindingdb,10.1016/j.ejmech.2020.112092,Cn1cc(NC(=O)c2cnc3ccc(N4CCC(N)CC4)nn23)c(C(F)F)n1,7.0969
68377524,IC50,=,8.2e-08,C1COCCC1N2C=C(C(=N2)C(=O)N)NC(=O)C3=COC(=N3)C4=C(C=NC=C4)F,pubchem,10.1016/j.bmc.2023.117302,NC(=O)c1nn(C2CCOCC2)cc1NC(=O)c1coc(-c2ccncc2F)n1,7.0862
118172944,IC50,=,8.3e-08,C1CN(CCN1C(=O)CN2C=C3C=C(C(=CC3=N2)F)NC(=O)C4=NC(=CC=C4)C(F)(F)F)C(=O)C5=CC=CC=C5,pubchem,10.1021/acs.jmedchem.3c01714,O=C(Nc1cc2cn(CC(=O)N3CCN(C(=O)c4ccccc4)CC3)nc2cc1F)c1cccc(C(F)(F)F)n1,7.0809
136508752,IC50,=,8.5e-08,C1COCCN1C2=NC(=C(C(=O)N2)C3=NC4=CC=CC=C4S3)N[C@@H]5C[C@H](CNC5)O,pubchem,10.1021/acsmedchemlett.5b00279,O=c1[nH]c(N2CCOCC2)nc(NC2CNCC(O)C2)c1-c1nc2ccccc2s1,7.0706
68327866,IC50,=,8.5e-08,CS(=O)(=O)N1CCC(CC1)C2=NN(C(=C2)NC(=O)C3=C4N=CC=CN4N=C3)C5=C(C=C(C=C5)C6CC6)F,pubchem,10.1021/acsmedchemlett.5b00106,CS(=O)(=O)N1CCC(c2cc(NC(=O)c3cnn4cccnc34)n(-c3ccc(C4CC4)cc3F)n2)CC1,7.0706
145993338,IC50,=,8.8e-08,C1CC(CCC1NC2=NC=NN3C2=C(C=C3)C4CCOCC4)N5CCOCC5,pubchem,10.1016/j.bmc.2018.01.008,c1nc(NC2CCC(N3CCOCC3)CC2)c2c(C3CCOCC3)ccn2n1,7.0555
73670847,IC50,=,8.9e-08,COC1=NC=CC(=C1)NC2=NC=C(C(=N2)N[C@@H]3C[C@@H]([C@H]([C@H]3O)O)CO)C4=NC(=CS4)C5=CC=CC=C5,pubchem,10.1016/j.bmcl.2015.05.097,COc1cc(Nc2ncc(-c3nc(-c4ccccc4)cs3)c(NC3CC(CO)C(O)C3O)n2)ccn1,7.0506
136932640,IC50,=,9.3e-08,C[C@@H]1CC[C@H](CN1)NC2=C(C(=O)NC(=N2)N3CCOCC3)C4=NC5=CC=CC=C5S4,pubchem,10.1021/acsmedchemlett.5b00279,CC1CCC(Nc2[nH]c(N3CCOCC3)nc(=O)c2-c2nc3ccccc3s2)CN1,7.0315
73670848,IC50,=,9.4e-08,C1[C@@H]([C@H]([C@H]([C@@H]1NC2=NC(=NC=C2C3=NC(=CS3)C4=CC=CC=C4)NC5=CN=CN=C5)O)O)CO,pubchem,10.1016/j.bmcl.2015.05.097,OCC1CC(Nc2nc(Nc3cncnc3)ncc2-c2nc(-c3ccccc3)cs2)C(O)C1O,7.0269
168272856,IC50,=,9.5e-08,C1COCCN1C2=C(C=CC(=C2)NC3=NC4=C(C(=N3)N[C@@H]5[C@@H]6C[C@H]([C@@H]5C(=O)N)C=C6)SC=C4)F,pubchem,10.1016/j.bmcl.2022.128900,NC(=O)C1C2C=CC(C2)C1Nc1nc(Nc2ccc(F)c(N3CCOCC3)c2)nc2ccsc12,7.0223
44449122,IC50,=,9.5e-08,C1C[C@H](CNC1)NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)C#N,pubchem,10.1016/j.bmcl.2008.04.042,N#Cc1ccc2ncc(-c3cccc(NC4CCCNC4)n3)n2c1,7.0223
147861233,IC50,=,9.6e-08,CN(C)CCN1C=C2C=C(C=C(C2=N1)OC)NC(=O)C3=NC(=CC=C3)C(F)(F)F,pubchem,10.1016/j.bmcl.2020.127686,COc1cc(NC(=O)c2cccc(C(F)(F)F)n2)cc2cn(CCN(C)C)nc12,7.0177
138727769,IC50,=,9.772e-08,CN(C)C1CCC(CC1)NC2=NC=NN3C2=C(C=C3)C4CCOCC4,pubchem,10.1016/j.bmc.2018.01.008,CN(C)C1CCC(Nc2ncnn3ccc(C4CCOCC4)c23)CC1,7.01
168278933,IC50,=,9.8e-08,C1C[C@H]2C[C@@H]1CC2NC3=NC(=NC4=C3SC=C4)NC5=CC=CC(=C5)C(=O)N6CCC(C6)F,pubchem,10.1016/j.bmcl.2022.128900,O=C(c1cccc(Nc2nc(NC3CC4CCC3C4)c3sccc3n2)c1)N1CCC(F)C1,7.0088
66555955,IC50,=,9.9e-08,CC1=CC=C(C=C1)N2C(=CC(=N2)C3=CN=CC=C3)NC(=O)C4=C5N=CC=CN5N=C4,pubchem,10.1021/acsmedchemlett.5b00106,Cc1ccc(-n2nc(-c3cccnc3)cc2NC(=O)c2cnn3cccnc23)cc1,7.0044
